Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-35', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=35)
Using GPU : 0 from 1 devices
Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-35', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=35)
Using GPU : 0 from 1 devices
Train 74, loss: 1.170059, train acc: 0.998663, train avg acc: 0.956547
Test 74, loss: 1.134209, test acc: 0.999570, test avg acc: 0.957798
Train 75, loss: 1.169156, train acc: 0.998874, train avg acc: 0.957087
Test 75, loss: 1.133518, test acc: 0.999857, test avg acc: 0.958333
Train 76, loss: 1.168570, train acc: 0.998944, train avg acc: 0.957508
Test 76, loss: 1.137664, test acc: 0.999570, test avg acc: 0.957798
Train 77, loss: 1.168219, train acc: 0.998698, train avg acc: 0.956591
Test 77, loss: 1.134176, test acc: 0.999570, test avg acc: 0.958034
Train 78, loss: 1.168599, train acc: 0.998698, train avg acc: 0.956782
Test 78, loss: 1.132826, test acc: 0.999570, test avg acc: 0.957798
Train 79, loss: 1.167996, train acc: 0.998768, train avg acc: 0.956790
Test 79, loss: 1.133279, test acc: 0.999713, test avg acc: 0.957948
Train 80, loss: 1.166957, train acc: 0.998979, train avg acc: 0.959616
Test 80, loss: 1.133348, test acc: 0.999570, test avg acc: 0.957798
Train 81, loss: 1.166600, train acc: 0.998768, train avg acc: 0.957446
Test 81, loss: 1.133490, test acc: 0.999427, test avg acc: 0.957648
Train 82, loss: 1.167268, train acc: 0.998803, train avg acc: 0.957433
Test 82, loss: 1.136070, test acc: 0.999857, test avg acc: 0.958333
Train 83, loss: 1.166386, train acc: 0.998944, train avg acc: 0.957447
Test 83, loss: 1.132939, test acc: 0.999713, test avg acc: 0.957948
Train 84, loss: 1.166202, train acc: 0.999015, train avg acc: 0.961360
Test 84, loss: 1.132489, test acc: 0.999857, test avg acc: 0.958333
Train 85, loss: 1.165191, train acc: 0.999155, train avg acc: 0.959987
Test 85, loss: 1.132395, test acc: 0.999857, test avg acc: 0.958333
Train 86, loss: 1.165680, train acc: 0.998909, train avg acc: 0.962566
Test 86, loss: 1.133191, test acc: 0.999713, test avg acc: 0.957948
Train 87, loss: 1.165348, train acc: 0.999155, train avg acc: 0.961353
Test 87, loss: 1.133434, test acc: 0.999857, test avg acc: 0.958333
Train 88, loss: 1.165033, train acc: 0.999050, train avg acc: 0.961174
Test 88, loss: 1.133419, test acc: 0.999570, test avg acc: 0.957825
Train 89, loss: 1.164599, train acc: 0.999191, train avg acc: 0.964946
Test 89, loss: 1.132856, test acc: 0.999713, test avg acc: 0.958183
Train 90, loss: 1.164117, train acc: 0.999015, train avg acc: 0.959545
Test 90, loss: 1.132057, test acc: 0.999713, test avg acc: 0.958183
Train 91, loss: 1.164685, train acc: 0.999015, train avg acc: 0.963105
Test 91, loss: 1.132798, test acc: 0.999857, test avg acc: 0.958333
Train 92, loss: 1.164543, train acc: 0.999191, train avg acc: 0.964946
Test 92, loss: 1.132688, test acc: 0.999713, test avg acc: 0.958183
Train 93, loss: 1.164049, train acc: 0.999085, train avg acc: 0.961662
Test 93, loss: 1.133588, test acc: 0.999857, test avg acc: 0.958333
Train 94, loss: 1.163778, train acc: 0.999191, train avg acc: 0.961879
Test 94, loss: 1.132581, test acc: 0.999713, test avg acc: 0.957948
Train 95, loss: 1.163504, train acc: 0.999261, train avg acc: 0.967061
Test 95, loss: 1.132889, test acc: 0.999857, test avg acc: 0.958333
Train 96, loss: 1.163786, train acc: 0.999191, train avg acc: 0.963221
Test 96, loss: 1.132289, test acc: 0.999713, test avg acc: 0.957948
Train 97, loss: 1.164311, train acc: 0.999085, train avg acc: 0.964635
Test 97, loss: 1.131958, test acc: 0.999713, test avg acc: 0.957948
Train 98, loss: 1.163697, train acc: 0.998944, train avg acc: 0.962679
Test 98, loss: 1.132378, test acc: 0.999857, test avg acc: 0.958333
Train 99, loss: 1.163766, train acc: 0.999226, train avg acc: 0.966726
Test 99, loss: 1.132092, test acc: 0.999857, test avg acc: 0.958333
